strain	lineage
H1-005-0035-M-M	B2
H1-005-0036-K-J	B2
H1-005-0037-P-G	B2
H1-005-0038-A-J	B2
H1-005-0039-V-F	B2
H1-005-0040-M-A	B2
H1-005-0041-M-P	B2
H1-005-0042-D-T	B2
H1-005-0043-B-O	B2
H1-005-0044-R-A	B2
H1-005-0047-S-F	B2
H1-005-0049-L-J	B2
H1-005-0051-H-M	B2
H1-005-0052-B-J	B2
H1-005-0054-C-P	B2
H1-005-0055-B-R	B2
H1-005-0056-W-P	B2
H1-005-0057-S-L	B2
H1-005-0061-L-J	B2
H1-005-0063-P-L	B2
H1-005-0067-A-O	B2
H1-005-0068-D-C	B2
H1-005-0069-B-M	B2
H1-006-0001-M-F	B2
H1-006-0002-F-L	B2
H1-006-0005-A-H	B2
H1-006-0006-C-A	B2
H1-006-0008-K-G	B2
H1-006-0009-P-C	B2
H1-006-0011-L-G	B2
H1-006-0012-T-R	B2
H1-006-0013-N-E	B2
H1-006-0015-M-S	B2
H1-006-0016-D-L	B2
H1-006-0017-B-Y	B2
H1-006-0019-C-M	B2
H1-006-0020-C-M	B2
H1-006-0025-K-A	B2
H1-006-0026-L-L	B2
H1-006-0028-D-J	B2
H1-006-0029-A-Y	B2
H1-006-0030-J-R	B2
H1-006-0033-P-A	B2
H1-006-0036-K-N	B2
H1-007-0001-L-D	B2
H1-007-0002-S-S	B2
H1-007-0003-S-K	B2
H1-007-0006-B-R	B2
H1-007-0007-D-J	B2
H1-007-0009-T-R	B2
H1-007-0011-C-M	B2
H1-007-0012-A-V	B2
H1-007-0017-T-K	B2
H1-007-0020-B-D	B2
H1-007-0021-C-G	B2
H1-007-0023-P-A	B2
H1-007-0024-R-O	B2
H1-007-0027-K-T	B2
H1-007-0028-C-T	B2
H1-007-0029-B-L	B2
H1-007-0030-R-J	B2
H1-007-0031-G-I	B2
H1-007-0036-L-A	B2
H1-007-0039-H-A	B2
H1-007-0040-B-Y	B2
H1-007-0041-L-M	B2
H1-007-0043-A-J	B2
R1B13A8	B2
R1B13C3	B2
R1B13C8	B2
R1B13C9	B2
R1B13D4	B2
R1B13E2	B2
R1B13E5	B2
R1B13F10	B2
R1B13F2	B2
R1B13F7	B2
R1B13G5	B2
R1B13I5	B2
R1B13I6	B2
R1B13I8	B2
R1B13I9	B2
R1B15A3	B2
R1B15B1	B2
R1B15C2	B2
R1B15C3	B2
R1B15E1	B2
R1B15E2	B2
R1B15E3	B2
R1B1A11	B2
R1B1A13	B2
R1B1A15	B2
R1B1A5	B2
R1B1A6	B2
R1B1A7	B2
R1B1B10	B2
R1B1B12	B2
R1B1B2	C
R1B1B4	B2
R1B1B5	B2
R1B1B7	B2
R1B1C15	B2
R1B1C3	B2
R1B1C7	B2
R1B1D12	B2
R1B1D4	B2
R1B1D7	B2
R1B1E13	B2
R1B1E14	B2
R1B1E15	B2
R1B1E5	B2
R1B1E8	B2
R1B1F10	B2
R1B1F1	B2
R1B1F2	B2
R1B1F4	B2
R1B1F6	B2
R1B1G10	B2
R1B1G3	B2
R1B1G4	B2
R1B1G5	B2
R1B1G6	B2
R1B1G7	B2
R1B1G9	B2
R1B1H10	B2
R1B1H11	B2
R1B1H12	B2
R1B1H13	B2
R1B1H1	B2
R1B1H2	B2
R1B1H6	B2
R1B1H8	B2
R1B1H9	B2
R1B1I12	B2
R1B1I14	B2
R1B1I15	B2
R1B1I5	B2
R1B1I6	B2
R1B1I8	B2
R1B1I9	B2
R1B1J11	B2
R1B1J13	B2
R1B1J1	B2
R1B1J2	B2
R1B1J4	B2
R1B2A11	B2
R1B2A1	B2
R1B2A4	B2
R1B2A5	B2
R1B2A6	F
R1B2A8	C
R1B2A9	B1
R1B2B14	B2
R1B2B2	B2
R1B2B3	B2
R1B2B6	B1
R1B2C10	A
R1B2C11	B2
R1B2C5	B1
R1B2C7	E
R1B2D6	D
R1B2D9	B1
R1B2E1	B2
R1B2E2	B2
R1B2E3	B2
R1B2E8	B2
R1B2F10	B2
R1B2F6	D
R1B2F7	D
R1B2G11	C
R1B2G1	A
R1B2G2	A
R1B2G3	B2
R1B2G4	B1
R1B2G5	B2
R1B2H1	B2
R1B2H5	E
R1B2H6	B1
R1B2H7	F
R1B2H8	D
R1B2H9	B1
R1B2I10	B2
R1B2I2	B2
R1B2I3	B2
R1B2J1	D
R1B2J5	G
R1B2J9	D
R1B3A1	B2
R1B3A4	B2
R1B3A5	B2
R1B3B2	A
R1B3B3	B2
R1B3C5	B2
R1B3D2	B2
R1B3D4	B2
R1B3D5	B2
R1B3F5	B2
R1B3G1	B2
R1B3G2	B2
R1B3G5	B2
R1B3H4	B2
R1B3I2	B2
R1B3I3	B2
R1B3J4	B2
R1B4C1	B2
R1B4E1	B2
R1B4F3	B2
R1B5A11	B2
R1B5A12	B2
R1B5A13	B2
R1B5B3	B2
R1B5B6	B2
R1B5B8	B2
R1B5C11	B2
R1B5C13	B2
R1B5C3	B2
R1B5C6	B2
R1B5D2	B2
R1B5D4	B2
R1B5D5	B2
R1B5D8	B2
R1B5E11	B2
R1B5E7	B2
R1B5F2	B2
R1B5F3	B2
R1B5F8	B2
R1B5G7	B2
R1B5G9	B2
R1B5H2	B2
R1B5H8	B2
R1B5I4	B2
R1B5I5	B2
R1B5I6	B2
R1B5J3	B2
R1B5J7	B2
R1B6A15	B2
R1B6A19	B2
R1B6A2	B2
R1B6A3	B2
R1B6A8	B2
R1B6B12	B2
R1B6B1	B2
R1B6B2	A
R1B6B4	B2
R1B6B5	B2
R1B6B6	B2
R1B6B7	B2
R1B6C14	B2
R1B6C15	B2
R1B6C19	B2
R1B6C3	B2
R1B6C8	B2
R1B6C9	B2
R1B6D11	B2
R1B6D13	B2
R1B6D16	B2
R1B6D6	B2
R1B6E19	B2
R1B6E1	B2
R1B6E2	B2
R1B6E3	B2
R1B6E7	B2
R1B6E8	B2
